Edos List,,,,,,,,,,,
#,state,city,test code,test name,mrp,group,specimen type,method,temp,test schedule,tat
164,Maharashtra,Mumbai,POP-O-108,test_164,2400,C4,4 ml Serum,As per indvidual test,2 - 8 °C,Daily 9 am to 8 pm,3- 4 Days 6 pm
165,Maharashtra,Mumbai,HAEM042,test_165,780,C2,2 ml Serum,Agglutination,2 - 8 °C,Daily 9 am to 7 pm,Same Day
166,Maharashtra,Mumbai,HAEM041,test_166,350,C2,3 ml EDTA Whole Blood,Staining &  microscopy,2 - 8 °C,Daily 9 am to 7 pm,Same Day
167,Maharashtra,Mumbai,MICRO079,test_167,8000,C8,Swab in VTM,Multiplex PCR,Room Temp,Daily 3 pm,3rd day 8 pm
168,Maharashtra,Mumbai,BIOC-O-205,test_168,3750,C6,3 ml EDTA Plasma or 3 ml Na Heparin Plasma (fasting recommended),CLIA,Frozen,Daily 6 pm,Next day 7 pm
169,Maharashtra,Mumbai,BIOCP044,test_169,1050,C2,5 ml Serum,Refer Individual  Test,2 - 8 °C,Daily 9 am to 8 pm,Same Day
170,Maharashtra,Mumbai,BIOCP041,test_170,2000,C2,5 ml Serum,Refer Individual  Test,2 - 8 °C,Daily 9 am to 8 pm,Same Day
171,Maharashtra,Mumbai,CIPA018,test_171,230,C1,10 ml Spot Urine,Biochemical,2 - 8 °C,Daily 9 am to 7 pm,Same Day
172,Maharashtra,Mumbai,CIPA017,test_172,230,C1,Stool In Sterile Container,Biochemical,2 - 8 °C,Daily 9 am to 7 pm,Same Day
173,Maharashtra,Mumbai,IMMU071,test_173,2250,C5,"2 ml Serum, 2 ml EDTA Whole Blood, Wrap tube in aluminium foil",CLIA,2 - 8 °C,Daily 3 pm,Next Day 9 pm
174,Maharashtra,Mumbai,BIOC150,test_174,550,C5,2ml Synovial Fluid in sterile container,Immunoturbidimetry,2 - 8 °C,Daily 3 pm,Next Day 4 pm
175,Maharashtra,Mumbai,BIOC155,test_175,650,C2,2 ml Serum,Nephelometry,2 - 8 °C,Daily 9 am to 7 pm,Same Day
176,Maharashtra,Mumbai,IMMU-O-091,test_176,3050,C3,"3 ml Serum, BPD value & Clinical History",Time Resolve Florometry,2 - 8 °C,Daily 3 pm,3rd Day 9 pm
177,Maharashtra,Mumbai,BIOC-O-203,test_177,2600,C6,3 ml Serum,Biochemical,2 - 8 °C,Daily 6 pm,Next day 12 pm
178,Maharashtra,Mumbai,HAEM-O-039,test_178,470,C3,Pus In Sterile Container,Microscopy and staining,2 - 8 °C,Daily 9 am to 8 pm,Same Day
179,Maharashtra,Mumbai,POP-O-103,test_179,2800,C3,"2 Blood culture bottle (Aerobic and anaerobic), 3 ml Serum",Refer Individual  Test,2 - 8 °C,Daily 5 pm,As per individual Test
180,Maharashtra,Mumbai,IMMU070,test_180,1550,C2,2 ml Serum,CLIA,2 - 8 °C,Daily 9 am to 8 pm,Same Day
181,Maharashtra,Mumbai,IMMU067,test_181,1650,C2,2 ml Serum,CLIA,2 - 8 °C,Daily 9 am to 8 pm,Same Day
182,Maharashtra,Mumbai,IMMU069,test_182,840,C2,2 ml Serum,CLIA,2 - 8 °C,Daily 9 am to 8 pm,Same Day
183,Maharashtra,Mumbai,IMMU068,test_183,1350,C2,2 ml Serum,CLIA,2 - 8 °C,Daily 9 am to 8 pm,Same Day
184,Maharashtra,Mumbai,HAEM039,test_184,390,C1,2 ml Citrated Plasma,Optomechanical,Room Temp,Daily 9 am to 7 pm,Same Day
185,Maharashtra,Mumbai,MOLPA-O-275,test_185,3700,C5,"3 ml EDTA Whole Blood, clinician prescription is mandatory",Real Time PCR,2 - 8 °C,Sat / Fri 12 pm,3rd Day 7 pm
186,Maharashtra,Mumbai,BIOC143,test_186,300,C5,2 ml CSF in sterile container,Biochemical,2 - 8 °C,Daily 9 am to 7 pm,Same Day 4 Hrs
187,Maharashtra,Mumbai,BIOC149,test_187,570,C2,10 ml Spot Urine,Biochemical,2 - 8 °C,Daily 9 am to 7 pm,Same Day 5 Hrs
188,Maharashtra,Mumbai,BIOC006,test_188,580,C2,10 ml 24 Hrs. Urine. No Preservative. Mention volume,Enzymatic,2 - 8 °C,Daily 9 am to 7 pm,Same Day 5 Hrs
189,Maharashtra,Mumbai,BIOC185,test_189,300,C1,10 ml Spot Urine,Biochemical,2 - 8 °C,Daily 9 am to 8 pm,Same Day
190,Maharashtra,Mumbai,BIOC146,test_190,310,C1,2 ml Serum,Biochemical,2 - 8 °C,Daily 9 am to 7 pm,Same Day 5 Hrs
191,Maharashtra,Mumbai,SERO-O-056,test_191,6150,C5,2 ml Citrated Platelet Poor Plasma,Immunoturbidimetry,Frozen,Wed / Sat 6 pm,3rd Day 4 pm
192,Maharashtra,Mumbai,BIOC-O-202,test_192,4450,C5,2 ml Citrated Platelet Poor Plasma,Clotting,Frozen,Wed / Sat 6 pm,3rd Day 4 pm
193,Maharashtra,Mumbai,BIOC-O-199,test_193,2500,C6,4 ml Serum,Electrophoresis,2 - 8 °C,Daily 6 pm,3rd Day 8 pm
194,Maharashtra,Mumbai,BIOC-O-200,test_194,880,C5,"10 ml Aliquot of 24 Hrs. Urine. In dark container. No Preservative, Mention volume",Electrophoresis,2 - 8 °C,Wed / Sat 6 pm,3rd Day 8 pm
195,Maharashtra,Mumbai,BIOC-O-198,test_195,900,C3,2 ml Serum,Capillary Electrophoresis,2 - 8 °C,Daily 12 pm,Next day 7 pm
196,Maharashtra,Mumbai,SERO-O-055,test_196,5100,C5,2 ml Citrated Platelet Poor Plasma,ELFA,2 - 8 °C,Daily 6 pm,Next Day 10 pm
197,Maharashtra,Mumbai,BIOC-O-197,test_197,4450,C5,2 ml Citrated Platelet Poor Plasma,Chromogenic,Frozen,Wed / Sat 6 pm,3rd day 5 pm
198,Maharashtra,Mumbai,BIOC148,test_198,360,C1,24 Hrs. Urine In  Dark Container. No  Preservative,Biochemical,2 - 8 °C,Daily 9 am to 7 pm,Same Day 5 Hrs
199,Maharashtra,Mumbai,IMMUD-O-022,test_199,930,C6,10 ml Spot Urine,Immuno Chromatography,2 - 8 °C,Daily 6 pm,Next Day 12 pm
200,Maharashtra,Mumbai,IMMU064,test_200,630,C2,2 ml Serum,CLIA,2 - 8 °C,Daily 9 am to 8 pm,Same Day
201,Maharashtra,Mumbai,IMMU-O-089,test_201,960,C6,3 ml Serum,CLIA,2 - 8 °C,Daily 6 pm,Next day 7 pm
202,Maharashtra,Mumbai,IMMU063,test_202,520,C2,2 ml Serum,CLIA,2 - 8 °C,Daily 9 am to 7 pm,Same Day
203,Maharashtra,Mumbai,IMMU062,test_203,690,C2,2 ml Serum,ELFA,2 - 8 °C,Daily 9 am to 7 pm,Same Day
204,Maharashtra,Mumbai,IMMU061,test_204,2550,C3,2 ml Serum,ELFA,2 - 8 °C,Daily 9 am to 7 pm,Same Day
205,Maharashtra,Mumbai,IMMU-O-087,test_205,9000,C5,3 ml EDTA Plasma (Seperate Plasma Within 2 Hrs. of collection),CMIA,2 - 8 °C,Sat 3 pm,Mon 8 pm
206,Maharashtra,Mumbai,CIPA016,test_206,300,C1,10 ml Spot Urine,Immuno Chromatography,2 - 8 °C,Daily 9 am to 7 pm,Same Day
207,Maharashtra,Mumbai,BIOC141,test_207,3700,C6,3 ml Serum,Nephelometry,2 - 8 °C,Daily 6 pm,Next day 1 pm
208,Maharashtra,Mumbai,POP239,test_208,1800,C4,"3 ml EDTA whole blood, 2 ml Fluoride Plasma, 5 ml Serum, 10 ml Urine",As per indvidual test,2 - 8 °C,Daily 9 am to 5 pm,Same Day
209,Maharashtra,Mumbai,POP240,test_209,2800,C4,"3 ml EDTA whole blood, 2 ml Fluoride Plasma, 5 ml Serum, 10 ml Urine, 2 ml Citrated Plasma",As per indvidual test,2 - 8 °C,Daily 9 am to 5 pm,Same Day
210,Maharashtra,Mumbai,POP238,test_210,2900,C4,"5 ml Serum, 3 ml EDTA Whole Blood, 2 ml Fluoride, 5 ml Urine",As per indvidual test,2 - 8 °C,Daily 9 am to 8 pm,Same Day
211,Maharashtra,Mumbai,POP237,test_211,1850,C4,"5 ml Serum, 3 ml EDTA Whole Blood, 2 ml Fluoride, 5 ml Urine",As per indvidual test,2 - 8 °C,Daily 9 am to 8 pm,Same Day
212,Maharashtra,Mumbai,PATHO36,test_212,7400,C6,"4 ml Whole Blood In EDTA, Clinical & family history, Clinician number & prescription mandatory",Methylation PCR,2 - 8 °C,Mon / Thu 6 pm,8th Day 9 pm
213,Maharashtra,Mumbai,GENP-O-158,test_213,6500,C6,4 ml Peripheral Blood in Sodium Heparin,FISH,2 - 8 °C,Daily 2 pm,8th Day 7 pm
214,Maharashtra,Mumbai,BIOC140,test_214,350,C1,10 ml Spot Urine,ISE,2 - 8 °C,Daily 9 am to 7 pm,Same Day
215,Maharashtra,Mumbai,BIOC-O-195,test_215,350,C1,"10 ml Aliquot of 24 Hrs. Urine. No Preservative, Mention volume",ISE,2 - 8 °C,Daily 9 am to 7 pm,Same Day
216,Maharashtra,Mumbai,BIOC139,test_216,260,C1,2 ml Serum,ISE,2 - 8 °C,Daily 9 am to 7 pm,Same Day
217,Maharashtra,Mumbai,BIOC-O-194,test_217,4050,C6,10 ml spot urine collected in dark colour bottle,Column Chromatography,2 - 8 °C,Wed 6 pm,3rd day 7 pm
218,Maharashtra,Mumbai,GENP-O-151,test_218,7250,C6,30 mg POC specimen in transport medium/sterile container in normal saline,FISH,2 - 8 °C,Daily 2 pm,8th Day 7 pm
219,Maharashtra,Mumbai,MOLBI-O-064,test_219,3100,C5,2ml BAL/ Sputum,Real Time PCR,2 - 8 °C,Tue/ Thu/ Sat,Next Day 8 pm
220,Maharashtra,Mumbai,MOLPA-O-307,test_220,5600,C5,2 ml Bone marrow in Sodium Heparin,Real Time PCR,2 - 8 °C,Daily 12 pm,3rd Day 8 pm
221,Maharashtra,Mumbai,MOLPA-O-306,test_221,5600,C5,3 ml EDTA Whole Blood,Real Time PCR,2 - 8 °C,Daily 12 pm,3rd Day 8 pm
222,Maharashtra,Mumbai,MOLPA-O-305,test_222,4200,C5,3 ml Whole Blood  in Sodium Heparin,FISH,Room Temp,Daily 5 pm,6th Day 7 pm
223,Maharashtra,Mumbai,MOLPA-O-304,test_223,4200,C5,2 ml Bone marrow in Sodium Heparin,FISH,Room Temp,Daily 5 pm,6th Day 7 pm
224,Maharashtra,Mumbai,HAEM-O-037,test_224,9350,C6,3 ml Serum,IFA,2 - 8 °C,Sat 6 pm,Tue  12 pm
225,Maharashtra,Mumbai,HAEM038,test_225,290,C1,"3 ml EDTA Whole Blood, 3.2 % Citrate (To Rule out EDTA Aggregates)",Automated Cell  Counter & Microscopy,2 - 8 °C,Daily 9 am to 7 pm,Same Day
226,Maharashtra,Mumbai,BIOC-O-196,test_226,5500,C6,"3 ml EDTA plasma, 3 ml Na heparin plasma",CLIA,2 - 8 °C,Mon / Thu 6 pm,3rd Day 8 pm
227,Maharashtra,Mumbai,ELISA-O-120,test_227,1480,C6,3 ml Serum,EIA,2 - 8 °C,Wed 6 pm,Fri 7 pm
228,Maharashtra,Mumbai,ELISA-O-119,test_228,1480,C6,3 ml Serum,EIA,2 - 8 °C,Wed 6 pm,Fri 7 pm
229,Maharashtra,Mumbai,CIPA015,test_229,300,C5,10 ml Spot Urine. No preservative,Molybdate UV,2 - 8 °C,Daily 3 pm,Next Day 6 pm
230,Maharashtra,Mumbai,CIPA014,test_230,300,C5,10 ml Aliquot of 24 hrs Urine. No preservative. Mention volume,Molybdate UV,2 - 8 °C,Daily 3 pm,Next Day 6 pm
231,Maharashtra,Mumbai,BIOC137,test_231,270,C1,2 ml Serum,Biochemical,2 - 8 °C,Daily 9 am to 7 pm,Same Day
232,Maharashtra,Mumbai,POP-O-095,test_232,5100,C5,"3 ml Citrated Plasma, 3 ml Serum. (Heparin should be discountinued  & anticoagulant  7 days prior to test)",As per indvidual test,"Serum 2 - 8 °C, Plasma Frozen",Mon / Wed / Fri 6 pm,Next day 9 pm
233,Maharashtra,Mumbai,POP-O-094,test_233,8380,C5,"3 ml Citrated Plasma, 3 ml Serum. (Heparin should be discountinued  & anticoagulant  7 days prior to test)",As per indvidual test,"Serum 2 - 8 °C, Plasma Frozen",Wed 6 pm,Next day 9 pm
234,Maharashtra,Mumbai,ELISA-O-118,test_234,5400,C5,4 ml Serum,ELISA,2 - 8 °C,Wed 6 pm,3rd Day 8 pm
235,Maharashtra,Mumbai,ELISA-O-117,test_235,5400,C5,4 ml Serum,ELISA,2 - 8 °C,Wed 6 pm,3rd Day 8 pm
236,Maharashtra,Mumbai,BIOC-O-192,test_236,1140,C6,3 ml Serum,PETINIA,2 - 8 °C,Daily 7 pm,Next Day 12 pm
237,Maharashtra,Mumbai,ELISA-O-108,test_237,300,C5,3 Blood Spots of heel prick on DBS card,Fluoroimmunoassay,Room Temp,Mon to Fri 3 pm,3rd Day 8 pm
238,Maharashtra,Mumbai,ELISA-O-107,test_238,1070,C6,2 ml Serum,PETINIA,2 - 8 °C,Daily 7 pm,Next Day 12 pm
239,Maharashtra,Mumbai,IMMUD-O-021,test_239,1050,C5,3 ml Serum,"ImmunoCAP, FEIA",2 - 8 °C,Daily 12 pm,Next day 7 pm
240,Maharashtra,Mumbai,IMMUD-O-020,test_240,1050,C5,3 ml Serum,"ImmunoCAP, FEIA",2 - 8 °C,Daily 12 pm,Next day 7 pm
241,Maharashtra,Mumbai,CIPA013,test_241,140,C1,Urine in sterile container,Nephelometry,2 - 8 °C,Daily 9 am to 8 pm,Same Day
242,Maharashtra,Mumbai,CIPA-O-022,test_242,140,C1,Stool In Sterile Container,Nephelometry,2 - 8 °C,Daily 9 am to 8 pm,Same Day
243,Maharashtra,Mumbai,HAEM037,test_243,350,C1,"3 ml EDTA Whole Blood, 2 Fresh Smears",Microscopy,Room Temp,Daily 9 am to 8 pm,Same Day
244,Maharashtra,Mumbai,HAEM036,test_244,230,C1,3 ml EDTA Plasma,Automated Cell Counter,2 - 8 °C,Daily 9 am to 8 pm,Same Day
245,Maharashtra,Mumbai,BIOC-O-189,test_245,710,C6,10 ml Spot Urine,Biochemical,2 - 8 °C,Daily 4 pm,Same Day 10 pm
246,Maharashtra,Mumbai,POP231,test_246,7900,C4,"5 ml Serum, 3 ml Fluoride Plasma",Refer Individual  Test,2 - 8 °C,Daily 9 am to 3 pm,4th Day 7 pm
247,Maharashtra,Mumbai,POP366,test_247,6100,C4,"3 ml Serum, 3 ml Fluoride Plasma",As per indvidual test,2 - 8 °C,Daily 9 am to 3 pm,Next Day 9 pm
248,Maharashtra,Mumbai,POP358,test_248,2100,C4,"3 ml Serum, 3 ml Fluoride Plasma",As per indvidual test,2 - 8 °C,Daily 9 am to 6 pm,Same Day
249,Maharashtra,Mumbai,CYTO-O-022,test_249,730,C6,"3 Direct Bone Marrow Aspirate slides, Clinical history & Clinician number is mandatory",Cytochemistry,2 - 8 °C,Wed / Sat 6 pm,4th day 9 pm
250,Maharashtra,Mumbai,CYTO-O-027,test_250,730,C6,"3 Fresh Peripheral smear slides, 3 ml EDTA Whole blood, Clinical history & Clinician number is mandatory",Cytochemistry,Room Temp,Wed / Sat 6 pm,4th day 9 pm
251,Maharashtra,Mumbai,SERO-O-051,test_251,1700,C5,2 ml Serum,IFA,2 - 8 °C,Daily 12 pm,Next day 7 pm
252,Maharashtra,Mumbai,PATHO1739,test_252,13400,C5,2 ml CSF in sterile container,Immunoblot,2 - 8 °C,Daily 12 pm,Next Day 8 pm
253,Maharashtra,Mumbai,IMMU-O-086,test_253,1050,C5,2 ml Serum,CLIA,2 - 8 °C,Daily 12 pm,Next Day 6 pm
254,Maharashtra,Mumbai,CYTO058,test_254,950,C3,Stains Smears,Microscopy,Room Temp,Daily 9 am to 8 pm,3rd Day
255,Maharashtra,Mumbai,CYTO056,test_255,850,C3,Pre Fixed Smears Along With P/S Fidings,Microscopy,Room Temp,Daily 9 am to 5 pm,3rd Day
256,Maharashtra,Mumbai,CYTO-O-020,test_256,950,C3,Pre Fixed Smears,Microscopy,Room Temp,Daily 9 am to 5 pm,3rd Day
257,Maharashtra,Mumbai,POP337,test_257,1650,C4,"3 ml Serum, 2 ml EDTA Whole Blood",As per indvidual test,2 - 8 °C,Daily 9 am to 8 pm,Same Day 4 Hrs
258,Maharashtra,Mumbai,IMMU-O-085,test_258,1700,C5,3 ml serum,ECLIA,,Wed/ Sat 12 pm,Next day 7 pm
259,Maharashtra,Mumbai,BIOC202,test_259,1600,C5,3 ml Serum,Blot,2 - 8 °C,Daily 12 pm,Same Day
260,Maharashtra,Mumbai,CIPA-O-002,test_260,2100,C6,"20 ml Aliquot of 24 Hrs. Urine. No Preservative, Mention volume",Biochemical,2 - 8 °C,Daily 6 pm,Next Day 10 pm
261,Maharashtra,Mumbai,BIOCP038,test_261,2700,C4,3 ml Serum,Refer Individual  Test,2 - 8 °C,Daily 9 am to 7 pm,Same Day
262,Maharashtra,Mumbai,CYTO-O-019,test_262,3700,C6,3 ml Serum,IFA,2 - 8 °C,Sat 6 pm,Tue 8 pm
263,Maharashtra,Mumbai,CIPA012,test_263,200,C3,Stool In Sterile Container,"Concentration , Stain and microscopy",2 - 8 °C,Daily 9 am to 7 pm,Same Day
264,Maharashtra,Mumbai,MICRO078,test_264,2600,C8,Swab In Sterile Container,Culture,2 - 8 °C,Daily 9 am to 5 pm,3 to 5 Days
265,Maharashtra,Mumbai,MICRO077,test_265,26000,C8,Swab In Sterile Container,Culture,2 - 8 °C,Daily 9 am to 5 pm,3 to 5 Days
266,Maharashtra,Mumbai,MICRO076,test_266,300,C8,Swab In Sterile Container,Culture,2 - 8 °C,Daily 9 am to 5 pm,3 to 5 Days
267,Maharashtra,Mumbai,MICRO075,test_267,1200,C8,Swab In Sterile Container,Culture,2 - 8 °C,Daily 9 am to 5 pm,3 to 5 Days
268,Maharashtra,Mumbai,MICRO074,test_268,1900,C8,Swab In Sterile Container,Culture,2 - 8 °C,Daily 9 am to 5 pm,3 to 5 Days
269,Maharashtra,Mumbai,MICRO089,test_269,1400,C8,Swab In Sterile Container,Culture,2 - 8 °C,Daily 9 am to 5 pm,3 to 5 Days
270,Maharashtra,Mumbai,POP356,test_270,2900,C4,4 ml Serum,As per indvidual test,2 - 8 °C,Daily 9 AM to 8 pm,Same day
271,Maharashtra,Mumbai,IMMU-O-084,test_271,3000,C6,3 ml serum,CLIA,2 - 8 °C,Daily 6 pm,Next day 2 pm
272,Maharashtra,Mumbai,HAEM-O-036,test_272,580,C5,3 ml Na Heparin Whole Blood,Parparts method,2 - 8 °C,Daily 12 pm,3rd Day 7 pm
273,Maharashtra,Mumbai,CIPA-O-021,test_273,800,C5,10 ml Spot Urine. No preservative,Freezing Point Depression,2 - 8 °C,Daily 3 pm,Next day 9 pm
274,Maharashtra,Mumbai,BIOC-O-185,test_274,800,C5,"2 ml Serum, Separate serum within I hour of collection",Freezing Point Depression,2 - 8 °C,Daily 3 pm,Next day 9 pm
275,Maharashtra,Mumbai,BIOC-O-181,test_275,710,C6,10 ml Spot Urine,Biochemical,Room Temp,Daily 4 pm,Same Day 10 pm
276,Maharashtra,Mumbai,GENP-O-171,test_276,12000,C6,FFPE Tissue/ block Histopatholog,"NGS,IHC",Room Temp,Daily 5 pm,14 Days
277,Maharashtra,Mumbai,GENP-O-170,test_277,15000,C7,FFPE Tissue/ block Histopatholog,"NGS, FISH",Room Temp,Daily 5 pm,14 Days
278,Maharashtra,Mumbai,GENP-O-166,test_278,19000,C6,3 ml EDTA Whole Blood/ Bone Marrow and FFPE Tissue,NGS,Room Temp,Daily 5 pm,21 Days
279,Maharashtra,Mumbai,GENP-O-165,test_279,17000,C6,3 ml EDTA Whole Blood,NGS,Room Temp,Daily 5 pm,21 Days
280,Maharashtra,Mumbai,GENP-O-164,test_280,31000,C4,3 ml EDTA Whole Blood/ Bone Marrow and FFPE Tissue,NGS,Room Temp,Daily 5 pm,21 Days
281,Maharashtra,Mumbai,GENP-O-163,test_281,21000,C6,3 ml EDTA Whole Blood,NGS,Room Temp,Daily 5 pm,21 Days
282,Maharashtra,Mumbai,GENP-O-168,test_282,27000,C4,Whole blood - EDTA vacutainer Dry - DBS card Amniotic Fluid - Sterile 15  ml Falcon tube Corionic Villus Sample - Sterile 15  ml Falcon tube with,NGS +MLPA,Room Temp,Daily 5 pm,21 Days
283,Maharashtra,Mumbai,GENP-O-169,test_283,13000,C7,FFPE Tissue/ block Histopatholog,"Sanger sequencing, FISH",Room Temp,Daily 5 pm,10 days
284,Maharashtra,Mumbai,GENP-O-174,test_284,26000,C5,FFPE Tissue/Paraffin block. Histopathology report Mandatory,NGS,Room Temp,Daily 5 pm,22 Days
285,Maharashtra,Mumbai,MOLPA-O-271,test_285,5700,C6,"2 ml CSF in Sterile Container & 3 ml serum, Both samples to be collected at same time or within 1 hour",Isoelectric Focusing By IEF,2 - 8 °C,Mon/ Thu 6 pm,3rd Day 7 pm
286,Maharashtra,Mumbai,CIPA011,test_286,150,C1,10 ml Spot Urine,Biochemical,2 - 8 °C,Daily 9 am to 7 pm,Same Day
287,Maharashtra,Mumbai,CIPA010,test_287,190,C1,Stool In Sterile Container,Biochemical,2 - 8 °C,Daily 9 am to 7 pm,Same Day
288,Maharashtra,Mumbai,BIOCP035,test_288,1750,C4,"3 ml EDTA Whole Blood,  5 ml Serum",As per indvidual test,2 - 8 °C,Daily 9 AM to 8 pm,Same day
289,Maharashtra,Mumbai,IMMU060,test_289,2650,C3,2 ml Serum,ELFA,2 - 8 °C,Daily 9 am to 8 pm,Same Day
290,Maharashtra,Mumbai,GENP-O-103,test_290,3600,C6,2 ml CSF in Sterile Container,CLIA,2 - 8 °C,Mon / Thu 6 pm,Next Day 9 pm
291,Maharashtra,Mumbai,GENP-O-102,test_291,3750,C6,3 ml Serum,ECLIA,2 - 8 °C,Mon / Thu 6 pm & Sat 12 pm,Next day 7 pm
292,Maharashtra,Mumbai,GENP-O-101,test_292,7800,C6,FFPE Block (>10% of tumor containt),ddPCR,Room Temp,Tue/ Thu/ Sat 6 pm,6th Day 9 pm
293,Maharashtra,Mumbai,MOLPA-O-269,test_293,6800,C5,"FFPE Block (>10% of tumor containt), Physician prescription mandatory","PCR, Sequencing",Room Temp,Mon 12 pm,8 Days
294,Maharashtra,Mumbai,BIOC-O-179,test_294,2500,C6,20 ml of Aliqout From 24 Hr Urine (10 Ml of 6N HCL as Preservative),EIA,2 - 8 °C,Mon / Thu 6 pm,3rd Day 9 pm
295,Maharashtra,Mumbai,SERO-O-050,test_295,4800,C6,"3 ml EDTA Plasma, Do not consume bananas, pineapple, chocolates, coffee, icecream, high diet in cereals and vanilla, potatoes and B complex 48 hours before collection.",EIA,2 - 8 °C,Mon / Thu 6 pm,3rd Day 9 pm
296,Maharashtra,Mumbai,BIOC-O-178,test_296,3800,C6,"10 ml Aliquot of 24 Hrs. Urine. No Preservative, Mention volume",ELISA,2 - 8 °C,Tue 5 pm,3rd Day 9 pm
297,Maharashtra,Mumbai,SERO-O-049,test_297,3800,C6,3 ml EDTA Plasma,EIA,2 - 8 °C,Tue 6 pm,3rd Day 9 pm
298,Maharashtra,Mumbai,POP-O-086,test_298,6800,C6,3 ml serum,IFA,2 - 8 °C,Daily 6 pm,Next Day 10 pm
299,Maharashtra,Mumbai,,test_299,7200,C6,2 ml CSF in sterile container,IFA,2 - 8 °C,Daily 6 pm,Next Day 10 pm
300,Maharashtra,Mumbai,POP-O-085,test_300,7950,C6,2 ml CSF in Sterile Container & 3 ml serum,IFA,2 - 8 °C,Mon/ Thu 6 pm,Next Day 10 pm
301,Maharashtra,Mumbai,IMMU-O-082,test_301,7700,C6,"3 ml Serum,",IFA,2 - 8 °C,Mon / Wed / Thu / Sat 12 pm,Next day 7 pm
302,Maharashtra,Mumbai,IMMU-O-083,test_302,6750,C6,2 ml CSF in Sterile Container,IFA,2 - 8 °C,Wed/ Sat 6 pm,3rd day 12 PM
303,Maharashtra,Mumbai,POP-O-084,test_303,11650,C6,"3 ml Serum, 2 ml CSF",IFA,2 - 8 °C,Wed/ Sat 6 pm,3rd day 12 PM
304,Maharashtra,Mumbai,GENP-O-175,test_304,14000,C6,10 ml Blood In Streck Tube,Genomic sequences,2 - 8 °C,Daily 3 pm,10th Day 7 pm
305,Maharashtra,Mumbai,GENP-O-097,test_305,8800,C6,10 ml Blood In Streck Tube,Genomic sequences,2 - 8 °C,Daily 3 pm,10th Day 7 pm
306,Maharashtra,Mumbai,BIOC-O-241,test_306,740,C5,15 ml Spot Urine,Lateral flow Immuunoassay,2 - 8 °C,Daily 12 pm,Next day 7 pm
307,Maharashtra,Mumbai,BIOC-O-174,test_307,1450,C6,"3 ml Serum, Please indicate history of the drug dose taken, time of sample collection",CLIA,2 - 8 °C,Daily 6 pm,Next Day 8 pm
308,Maharashtra,Mumbai,BIOC-O-173,test_308,1680,C6,"10 ml Spot Urine , Please indicate history of the drug dose taken, time of sample collection",CLIA,2 - 8 °C,Daily 6 pm,Next Day 8 pm
309,Maharashtra,Mumbai,ELISA-O-101,test_309,2600,C5,3 Blood Spots of heel prick on DBS card,"Fluoroimmunoassay, Capillary Electrophoresis",2 - 8 °C,Tue/Thu/Sat 12 pm,3rd Day 9 pm
310,Maharashtra,Mumbai,ELISA-O-099,test_310,2000,C5,3 Blood Spots of heel prick on DBS card,Fluoroimmunoassay,2 - 8 °C,Mon to Fri 12 pm,3rd Day 9 pm
311,Maharashtra,Mumbai,ELISA-O-098,test_311,1100,C5,3 Blood Spots of heel prick on DBS card,Fluoroimmunoassay,2 - 8 °C,Mon to Fri 12 pm,3rd Day 9 pm
312,Maharashtra,Mumbai,ELISA-O-097,test_312,660,C5,3 Blood Spots of heel prick on DBS card,Fluoroimmunoassay,2 - 8 °C,Mon to Fri 12 pm,3rd Day 9 pm
313,Maharashtra,Mumbai,BIOC-O-166,test_313,1250,C6,10 ml Spot Urine,CLIA,2 - 8 °C,Daily 6 pm,Next Day 8 pm
314,Maharashtra,Mumbai,BIOC-O-165,test_314,2500,C6,3 ml Serum,CLIA,2 - 8 °C,Daily 6 pm,Next Day 8 pm
315,Maharashtra,Mumbai,ELISA-O-096,test_315,2300,C6,3 ml Serum,EIA,2 - 8 °C,Wed / Sat 5 pm,3rd Day 7 pm
316,Maharashtra,Mumbai,ELISA-O-095,test_316,2300,C6,3 ml Serum,EIA,2 - 8 °C,Sat 12 PM and Wed 5 pm,3rd daty 7 pm
317,Maharashtra,Mumbai,POP-O-081,test_317,10400,C5,"5 ml Serum, Patient should not have general anaesthetic or muscle relaxant drugs 24 prior to sampling.","EIA, IFA",2 - 8 °C,Sat 3 Pm,Sat 5 pm
318,Maharashtra,Mumbai,IMMU-O-081,test_318,6000,C5,3 ml Serum,EIA,2 - 8 °C,Mon/ Thue 12 pm,3d day 8 pm
319,Maharashtra,Mumbai,ELISA-O-094,test_319,1770,C5,3 ml Serum,CLIA,2 - 8 °C,Daily 6 PM,3rd Day 8 pm
320,Maharashtra,Mumbai,ELISA-O-092,test_320,2035,C5,3 ml Serum,CLIA,2 - 8 °C,Daily 6 PM,Next Day 8 pm
321,Maharashtra,Mumbai,MOLPA-O-260,test_321,530,C6,3 Blood Spots of heel prick on DBS card,EIA,2 - 8 °C,Daily 6 PM,3rd Day 8 pm
322,Maharashtra,Mumbai,MICRO069,test_322,1400,C3,Nasal / Axilla/ Groin Swab In Sterile Container,Culture,2 - 8 °C,Daily 9 am to 5 pm,3rd Day 7 pm
323,Maharashtra,Mumbai,MOLPA-O-251,test_323,3000,C6,"2 ml Citrate Plasma, Prepare Platelet Poor Plasma Within 1 Hrs. of Collection",Clotting,Frozen,"Daily 12 pm, 6 PM",Next Day 2 pm
